Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{1_p, 0_n, 0_b, 0_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, 0_b, 0_r, X_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, 0_b, X_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, 0_b, X_r, X_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, X_b, 0_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, X_b, 0_r, X_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, X_b, X_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, 0_n, X_b, X_r, X_q}: accuracy = 66.560509, count = 157
{1_p, X_n, 0_b, 0_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, X_n, 0_b, 0_r, X_q}: accuracy = 66.560509, count = 157
{1_p, X_n, 0_b, X_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, X_n, 0_b, X_r, X_q}: accuracy = 66.560509, count = 157
{1_p, X_n, X_b, 0_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, X_n, X_b, 0_r, X_q}: accuracy = 66.560509, count = 157
{1_p, X_n, X_b, X_r, 0_q}: accuracy = 66.560509, count = 157
{1_p, X_n, X_b, X_r, X_q}: accuracy = 66.560509, count = 157
{3_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, 0_b, 0_r, X_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, 0_b, X_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, 0_b, X_r, X_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, X_b, 0_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, X_b, 0_r, X_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, X_b, X_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, 2_n, X_b, X_r, X_q}: accuracy = 54.656864, count = 153
{3_p, X_n, 0_b, 0_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, X_n, 0_b, 0_r, X_q}: accuracy = 54.656864, count = 153
{3_p, X_n, 0_b, X_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, X_n, 0_b, X_r, X_q}: accuracy = 54.656864, count = 153
{3_p, X_n, X_b, 0_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, X_n, X_b, 0_r, X_q}: accuracy = 54.656864, count = 153
{3_p, X_n, X_b, X_r, 0_q}: accuracy = 54.656864, count = 153
{3_p, X_n, X_b, X_r, X_q}: accuracy = 54.656864, count = 153
{4_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, 0_b, 2_r, X_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, 0_b, X_r, 0_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, 0_b, X_r, X_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, 1_b, 0_r, X_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, 1_b, X_r, 0_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, 1_b, X_r, X_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, X_b, 0_r, 0_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, X_b, 0_r, X_q}: accuracy = 54.777069, count = 157
{4_p, 0_n, X_b, 2_r, 0_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, X_b, 2_r, X_q}: accuracy = 49.259869, count = 152
{4_p, 0_n, X_b, X_r, 0_q}: accuracy = 52.063107, count = 309
{4_p, 0_n, X_b, X_r, X_q}: accuracy = 52.063107, count = 309
{4_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, 0_b, 0_r, X_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, 0_b, X_r, 0_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, 0_b, X_r, X_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, X_b, 0_r, 0_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, X_b, 0_r, X_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, X_b, X_r, 0_q}: accuracy = 56.847130, count = 157
{4_p, 2_n, X_b, X_r, X_q}: accuracy = 56.847130, count = 157
{4_p, X_n, 0_b, 0_r, 0_q}: accuracy = 56.847130, count = 157
