Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{1_p, 0_n, 0_b, 0_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, 0_b, 0_r, X_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, 0_b, X_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, X_b, 0_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, X_b, 0_r, X_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, X_b, X_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, 0_n, X_b, X_r, X_q}: accuracy = 62.500000, count = 10
{1_p, X_n, 0_b, 0_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, X_n, 0_b, 0_r, X_q}: accuracy = 62.500000, count = 10
{1_p, X_n, 0_b, X_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, X_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 10
{1_p, X_n, X_b, 0_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, X_n, X_b, 0_r, X_q}: accuracy = 62.500000, count = 10
{1_p, X_n, X_b, X_r, 0_q}: accuracy = 62.500000, count = 10
{1_p, X_n, X_b, X_r, X_q}: accuracy = 62.500000, count = 10
{3_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, 0_b, 0_r, X_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, 0_b, X_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, 0_b, X_r, X_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, X_b, 0_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, X_b, 0_r, X_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, X_b, X_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, 2_n, X_b, X_r, X_q}: accuracy = 43.750000, count = 16
{3_p, X_n, 0_b, 0_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, X_n, 0_b, 0_r, X_q}: accuracy = 43.750000, count = 16
{3_p, X_n, 0_b, X_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, X_n, 0_b, X_r, X_q}: accuracy = 43.750000, count = 16
{3_p, X_n, X_b, 0_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, X_n, X_b, 0_r, X_q}: accuracy = 43.750000, count = 16
{3_p, X_n, X_b, X_r, 0_q}: accuracy = 43.750000, count = 16
{3_p, X_n, X_b, X_r, X_q}: accuracy = 43.750000, count = 16
{4_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, 0_b, 2_r, X_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, 0_b, X_r, 0_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, 0_b, X_r, X_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, 1_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, 1_b, X_r, 0_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, 1_b, X_r, X_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, X_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, X_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{4_p, 0_n, X_b, 2_r, 0_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, X_b, 2_r, X_q}: accuracy = 67.500000, count = 10
{4_p, 0_n, X_b, X_r, 0_q}: accuracy = 65.909096, count = 11
{4_p, 0_n, X_b, X_r, X_q}: accuracy = 65.909096, count = 11
{4_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, 0_b, 0_r, X_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, 0_b, X_r, 0_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, 0_b, X_r, X_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, X_b, 0_r, 0_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, X_b, 0_r, X_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, X_b, X_r, 0_q}: accuracy = 50.000000, count = 2
{4_p, 2_n, X_b, X_r, X_q}: accuracy = 50.000000, count = 2
{4_p, X_n, 0_b, 0_r, 0_q}: accuracy = 50.000000, count = 2
{4_p, X_n, 0_b, 0_r, X_q}: accuracy = 50.000000, count = 2
{4_p, X_n, 0_b, 2_r, 0_q}: accuracy = 67.500000, count = 10
{4_p, X_n, 0_b, 2_r, X_q}: accuracy = 67.500000, count = 10
{4_p, X_n, 0_b, X_r, 0_q}: accuracy = 64.583328, count = 12
{4_p, X_n, 0_b, X_r, X_q}: accuracy = 64.583328, count = 12
{4_p, X_n, 1_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{4_p, X_n, 1_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{4_p, X_n, 1_b, X_r, 0_q}: accuracy = 50.000000, count = 1
{4_p, X_n, 1_b, X_r, X_q}: accuracy = 50.000000, count = 1
{4_p, X_n, X_b, 0_r, 0_q}: accuracy = 50.000000, count = 3
{4_p, X_n, X_b, 0_r, X_q}: accuracy = 50.000000, count = 3
{4_p, X_n, X_b, 2_r, 0_q}: accuracy = 67.500000, count = 10
{4_p, X_n, X_b, 2_r, X_q}: accuracy = 67.500000, count = 10
{4_p, X_n, X_b, X_r, 0_q}: accuracy = 63.461536, count = 13
{4_p, X_n, X_b, X_r, X_q}: accuracy = 63.461536, count = 13
{5_p, 0_n, 0_b, 2_r, 0_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, 0_b, 2_r, X_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, 0_b, X_r, 0_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, 0_b, X_r, X_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, 1_b, 0_r, X_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, 1_b, X_r, 0_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, 1_b, X_r, X_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, X_b, 0_r, 0_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, X_b, 0_r, X_q}: accuracy = 40.625000, count = 4
{5_p, 0_n, X_b, 2_r, 0_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, X_b, 2_r, X_q}: accuracy = 20.833332, count = 3
{5_p, 0_n, X_b, X_r, 0_q}: accuracy = 32.142857, count = 7
{5_p, 0_n, X_b, X_r, X_q}: accuracy = 32.142857, count = 7
{5_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, 1_b, 4_r, X_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, 1_b, X_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, 1_b, X_r, X_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, X_b, 4_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, X_b, 4_r, X_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, X_b, X_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, 1_n, X_b, X_r, X_q}: accuracy = 66.666672, count = 3
{5_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, 0_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, 0_b, X_r, 0_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, 0_b, X_r, X_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, X_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, X_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, X_b, X_r, 0_q}: accuracy = 50.000000, count = 1
{5_p, 2_n, X_b, X_r, X_q}: accuracy = 50.000000, count = 1
{5_p, X_n, 0_b, 0_r, 0_q}: accuracy = 50.000000, count = 1
{5_p, X_n, 0_b, 0_r, X_q}: accuracy = 50.000000, count = 1
{5_p, X_n, 0_b, 2_r, 0_q}: accuracy = 20.833332, count = 3
{5_p, X_n, 0_b, 2_r, X_q}: accuracy = 20.833332, count = 3
{5_p, X_n, 0_b, X_r, 0_q}: accuracy = 28.125000, count = 4
{5_p, X_n, 0_b, X_r, X_q}: accuracy = 28.125000, count = 4
{5_p, X_n, 1_b, 0_r, 0_q}: accuracy = 40.625000, count = 4
{5_p, X_n, 1_b, 0_r, X_q}: accuracy = 40.625000, count = 4
{5_p, X_n, 1_b, 4_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, X_n, 1_b, 4_r, X_q}: accuracy = 66.666672, count = 3
{5_p, X_n, 1_b, X_r, 0_q}: accuracy = 51.785713, count = 7
{5_p, X_n, 1_b, X_r, X_q}: accuracy = 51.785713, count = 7
{5_p, X_n, X_b, 0_r, 0_q}: accuracy = 42.500000, count = 5
{5_p, X_n, X_b, 0_r, X_q}: accuracy = 42.500000, count = 5
{5_p, X_n, X_b, 2_r, 0_q}: accuracy = 20.833332, count = 3
{5_p, X_n, X_b, 2_r, X_q}: accuracy = 20.833332, count = 3
{5_p, X_n, X_b, 4_r, 0_q}: accuracy = 66.666672, count = 3
{5_p, X_n, X_b, 4_r, X_q}: accuracy = 66.666672, count = 3
{5_p, X_n, X_b, X_r, 0_q}: accuracy = 43.181820, count = 11
{5_p, X_n, X_b, X_r, X_q}: accuracy = 43.181820, count = 11
{6_p, 0_n, 0_b, 0_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, 0_b, 0_r, X_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, 0_b, 4_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, 0_b, 4_r, X_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, 0_b, X_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, 0_b, X_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, 0_b, X_r, X_q}: accuracy = 35.937500, count = 8
{6_p, 0_n, X_b, 0_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, X_b, 0_r, X_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, X_b, 4_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, X_b, 4_r, X_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, X_b, X_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, 0_n, X_b, X_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, 0_n, X_b, X_r, X_q}: accuracy = 35.937500, count = 8
{6_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, 0_b, 0_r, X_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, 0_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, 0_b, X_r, X_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, X_b, 0_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, X_b, 0_r, X_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, X_b, X_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, 2_n, X_b, X_r, X_q}: accuracy = 100.000000, count = 2
{6_p, X_n, 0_b, 0_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, X_n, 0_b, 0_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, X_n, 0_b, 0_r, X_q}: accuracy = 58.333332, count = 6
{6_p, X_n, 0_b, 4_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, X_n, 0_b, 4_r, X_q}: accuracy = 34.375000, count = 4
{6_p, X_n, 0_b, X_r, 0_q}: accuracy = 56.250000, count = 6
{6_p, X_n, 0_b, X_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, X_n, 0_b, X_r, X_q}: accuracy = 48.750000, count = 10
{6_p, X_n, X_b, 0_r, 0_q}: accuracy = 100.000000, count = 2
{6_p, X_n, X_b, 0_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, X_n, X_b, 0_r, X_q}: accuracy = 58.333332, count = 6
{6_p, X_n, X_b, 4_r, 0_q}: accuracy = 34.375000, count = 4
{6_p, X_n, X_b, 4_r, X_q}: accuracy = 34.375000, count = 4
{6_p, X_n, X_b, X_r, 0_q}: accuracy = 56.250000, count = 6
{6_p, X_n, X_b, X_r, 1_q}: accuracy = 37.500000, count = 4
{6_p, X_n, X_b, X_r, X_q}: accuracy = 48.750000, count = 10
{7_p, 0_n, 0_b, 0_r, 1_q}: accuracy = 50.000000, count = 3
{7_p, 0_n, 0_b, 0_r, X_q}: accuracy = 50.000000, count = 3
{7_p, 0_n, 0_b, 2_r, 1_q}: accuracy = 80.000000, count = 5
{7_p, 0_n, 0_b, 2_r, X_q}: accuracy = 80.000000, count = 5
{7_p, 0_n, 0_b, X_r, 1_q}: accuracy = 68.750000, count = 8
{7_p, 0_n, 0_b, X_r, X_q}: accuracy = 68.750000, count = 8
{7_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, 1_b, 0_r, X_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, 1_b, X_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, 1_b, X_r, X_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, X_b, 0_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, X_b, 0_r, 1_q}: accuracy = 50.000000, count = 3
{7_p, 0_n, X_b, 0_r, X_q}: accuracy = 78.571426, count = 7
{7_p, 0_n, X_b, 2_r, 1_q}: accuracy = 80.000000, count = 5
{7_p, 0_n, X_b, 2_r, X_q}: accuracy = 80.000000, count = 5
{7_p, 0_n, X_b, X_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, 0_n, X_b, X_r, 1_q}: accuracy = 68.750000, count = 8
{7_p, 0_n, X_b, X_r, X_q}: accuracy = 79.166672, count = 12
{7_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 1_b, 4_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 1_b, X_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, 1_b, X_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, 4_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, 4_r, X_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, X_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, 1_n, X_b, X_r, X_q}: accuracy = 75.000000, count = 2
