Path to db: D:\VUZAKA\case\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\VUZAKA\case\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{1_p, 1_n, 0_b, 1_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, 0_b, 1_r, X_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, 0_b, X_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, 0_b, X_r, X_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, X_b, 1_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, X_b, 1_r, X_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, X_b, X_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, 1_n, X_b, X_r, X_q}: accuracy = 51.388889, count = 9
{1_p, X_n, 0_b, 1_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, X_n, 0_b, 1_r, X_q}: accuracy = 51.388889, count = 9
{1_p, X_n, 0_b, X_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, X_n, 0_b, X_r, X_q}: accuracy = 51.388889, count = 9
{1_p, X_n, X_b, 1_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, X_n, X_b, 1_r, X_q}: accuracy = 51.388889, count = 9
{1_p, X_n, X_b, X_r, 0_q}: accuracy = 51.388889, count = 9
{1_p, X_n, X_b, X_r, X_q}: accuracy = 51.388889, count = 9
{2_p, 1_n, 0_b, 1_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, 0_b, 1_r, X_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, 0_b, X_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, 0_b, X_r, X_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, X_b, 1_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, X_b, 1_r, X_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, X_b, X_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, 1_n, X_b, X_r, X_q}: accuracy = 0.000000, count = 1
{2_p, X_n, 0_b, 1_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, X_n, 0_b, 1_r, X_q}: accuracy = 0.000000, count = 1
{2_p, X_n, 0_b, X_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, X_n, 0_b, X_r, X_q}: accuracy = 0.000000, count = 1
{2_p, X_n, X_b, 1_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, X_n, X_b, 1_r, X_q}: accuracy = 0.000000, count = 1
{2_p, X_n, X_b, X_r, 0_q}: accuracy = 0.000000, count = 1
{2_p, X_n, X_b, X_r, X_q}: accuracy = 0.000000, count = 1
{3_p, 1_n, 0_b, 1_r, 0_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, 0_b, 1_r, X_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, 0_b, X_r, 0_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, 0_b, X_r, X_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, X_b, 1_r, 0_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, X_b, 1_r, X_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, X_b, X_r, 0_q}: accuracy = 12.500000, count = 2
{3_p, 1_n, X_b, X_r, X_q}: accuracy = 12.500000, count = 2
{3_p, X_n, 0_b, 1_r, 0_q}: accuracy = 12.500000, count = 2
{3_p, X_n, 0_b, 1_r, X_q}: accuracy = 12.500000, count = 2
{3_p, X_n, 0_b, X_r, 0_q}: accuracy = 12.500000, count = 2
